102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1040 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.028
102.244.44.38 - - [02/May/2026:11:05:35 +0000] "GET /api/v1/ HTTP/1.1" 404 1023 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.004
102.244.44.38 - - [02/May/2026:11:06:58 +0000] "GET /api/admin/ HTTP/1.1" 404 1023 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.007
102.244.44.38 - - [02/May/2026:11:07:15 +0000] "GET /api/v1/ HTTP/1.1" 404 1023 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.008
98.84.143.120 - - [02/May/2026:11:11:38 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.32.5" "98.84.143.120" response-time=3.417
98.84.143.120 - - [02/May/2026:11:19:58 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.32.5" "98.84.143.120" response-time=5.186
102.244.44.38 - - [02/May/2026:11:20:18 +0000] "GET /api/v1/ HTTP/1.1" 500 1182 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=7.758
102.244.44.38 - - [02/May/2026:11:20:52 +0000] "GET /api/v1/services/ HTTP/1.1" 500 1182 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=5.244
98.84.143.120 - - [03/May/2026:23:13:30 +0000] "GET / HTTP/1.1" 500 1182 "-" "python-requests/2.32.5" "98.84.143.120" response-time=4.989
129.0.213.234 - - [03/May/2026:23:13:59 +0000] "GET /api/v1/services/ HTTP/1.1" 500 1182 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "129.0.213.234" response-time=3.986
